feature,importance
stop_sequence,0.20881494583200338
hour_sin,0.1066892431701683
temperature_2m,0.08689927681926377
dew_point_2m,0.08622125727037833
wind_direction_10m,0.08205548254921799
wind_gusts_10m,0.07005906200531649
wind_speed_10m,0.06956079115092328
hour,0.04544677299126962
hour_cos,0.0347420899453861
day_sin,0.029220832261880332
cloud_cover,0.028040078346481232
month_cos,0.024587037346836316
day_cos,0.021218743692840457
vacances_scolaires,0.01722482684865243
month_sin,0.016893314573687195
month,0.014984347720272649
snowfall,0.014612048025869953
rain,0.010948018132122449
day_of_week,0.010057485865092093
est_jour_ferie,0.005646292388964573
soleil_leve,0.005196747425139198
precipitation,0.004679061210830685
est_weekend,0.002869654691771335
risque_gel_neige,0.002852311659306294
neige_fondue,0.00048027807632557547
risque_gel_pluie,0.0
